path,src,zip,member,licence,side,palette,flat
0000216.png,data/oga5_cut_ccby3,2D_Art_00.zip,sapphirespinning_0.png,CC-BY-3.0,32,385,0.0015
0000217.png,data/oga5_cut_ccby3,2D_Art_00.zip,sapphirespinning_0.png,CC-BY-3.0,31,405,0.0042
0000218.png,data/oga5_cut_ccby3,2D_Art_00.zip,sapphirespinning_0.png,CC-BY-3.0,33,407,0.0042
0000219.png,data/oga5_cut_ccby3,2D_Art_00.zip,YoungWizard.png,CC-BY-3.0,34,13,0.606
0000220.png,data/oga5_cut_ccby3,2D_Art_00.zip,YoungWizard.png,CC-BY-3.0,34,13,0.6007
0000221.png,data/oga5_cut_ccby3,2D_Art_00.zip,YoungWizard.png,CC-BY-3.0,34,13,0.6108
0000222.png,data/oga5_cut_ccby3,2D_Art_00.zip,YoungWizard.png,CC-BY-3.0,34,14,0.5946
0000223.png,data/oga5_cut_ccby3,2D_Art_00.zip,YoungWizard.png,CC-BY-3.0,34,14,0.5946
0000224.png,data/oga5_cut_ccby3,2D_Art_00.zip,YoungWizard.png,CC-BY-3.0,34,14,0.5845
0000225.png,data/oga5_cut_ccby3,2D_Art_00.zip,YoungWizard.png,CC-BY-3.0,34,14,0.5989
0000226.png,data/oga5_cut_ccby3,2D_Art_00.zip,YoungWizard.png,CC-BY-3.0,34,14,0.5958
0000227.png,data/oga5_cut_ccby3,2D_Art_00.zip,YoungWizard.png,CC-BY-3.0,66,14,0.6056
0000228.png,data/oga5_cut_ccby3,2D_Art_00.zip,YoungWizard.png,CC-BY-3.0,34,13,0.6056
0000229.png,data/oga5_cut_ccby3,2D_Art_00.zip,YoungWizard.png,CC-BY-3.0,36,13,0.6055
0000230.png,data/oga5_cut_ccby3,2D_Art_00.zip,YoungWizard.png,CC-BY-3.0,36,14,0.6186
0000231.png,data/oga5_cut_ccby3,2D_Art_00.zip,YoungWizard.png,CC-BY-3.0,36,14,0.6239
0000232.png,data/oga5_cut_ccby3,2D_Art_00.zip,YoungWizard.png,CC-BY-3.0,36,14,0.6142
